station,municipality,type
MMLH,Mook en Middelaar,services
NDB,Gooise Meren,services
,Emmen,services
NVP,Haarlemmermeer,services
NWK,Capelle aan den IJssel,services
NKK,Nijkerk,services
NM,Nijmegen,services
NMD,Nijmegen,services
NMGO,Nijmegen,services
NMH,Nijmegen,services
NML,Nijmegen,services
NVD,Hellendoorn,services
NS,Nunspeet,services
NH,Nuth,services
OBD,Koggenland,services
OT,Oisterwijk,services
ODZ,Oldenzaal,services
OST,Olst-Wijhe,services
OMN,Ommen,services
OTB,Arnhem,services
OP,Neder-Betuwe,services
O,Oss,services
OW,Oss,services
ODB,Halderberge,services
OVN,Bloemendaal,services
PMR,Purmerend,services
PMO,Purmerend,services
PMW,Purmerend,services
PT,Putten,services
RAT,Raalte,services
RVS,Landerd,services
RV,Beesel,services
RH,Rheden,services
RHN,Rhenen,services
RSN,Rijssen-Holten,services
RSW,Rijswijk,services
RB,Reimerswaal,services
RM,Roermond,services
RD,Eemsmond,services
RSD,Roosendaal,services
RS,'s-Hertogenbosch,services
RTA,Capelle aan den IJssel,services
RTB,Rotterdam,services
RTD,Rotterdam,services
RLB,Barendrecht,services
RTN,Rotterdam,services
RTST,Rotterdam,services
RTZ,Rotterdam,services
RL,Berkelland,services
SPTN,Velsen,services
SPTZ,Bloemendaal,services
SPM,Veendam,services
SSH,Teylingen,services
SWD,Bedum,services
SGN,Schagen,services
SDA,Oldambt,services
SDM,Schiedam,services
SOG,Valkenburg aan de Geul,services
SN,Schinnen,services
SHL,Aalsmeer,services
STD,Sittard-Geleen,services
SDT,Sliedrecht,services
SDTB,Sliedrecht,services
SK,Súdwest-Fryslân,services
SKND,Súdwest-Fryslân,services
ST,Soest,services
STZ,Soest,services
SD,Soest,services
SBK,Schinnen,services
STV,Súdwest-Fryslân,services
STM,Loppersum,services
SWK,Steenwijkerland,services
SRN,Echt-Susteren,services
SM,Beesel,services
TG,Venlo,services
TBG,Oude IJsselstreek,services
TL,Tiel,services
TPSW,Tiel,services
TB,Tilburg,services
TBR,Gilze en Rijen,services
TBU,Tilburg,services
TWL,Voorst,services
UTG,Uitgeest,services
UHZ,Eemsmond,services
UHM,Eemsmond,services
UST,Eemsmond,services
UT,Utrecht,services
UTLR,Utrecht,services
UTLN,Utrecht,services
UTM,Utrecht,services
UTO,Utrecht,services
UTT,Stichtse Vecht,services
UTVR,Utrecht,services
UTZL,Utrecht,services
VK,Valkenburg aan de Geul,services
VSV,Oude IJsselstreek,services
VDM,Veendam,services
VNDC,Veenendaal,services
VNDW,Veenendaal,services
KLP,Veenendaal,services
VP,Rozendaal,services
VL,Venlo,services
VRY,Venray,services
VLB,Bergen (L.),services
VTN,Stichtse Vecht,services
VS,Vlissingen,services
VSS,Vlissingen,services
VDL,Voerendaal,services
VB,Leidschendam-Voorburg,services
VH,Teylingen,services
VST,Voorschoten,services
VEM,Zutphen,services
VD,Lochem,services
VZ,Wierden,services
VHP,Twenterand,services
VG,Vught,services
WAD,Waddinxveen,services
WADN,Waddinxveen,services
WADT,Waddinxveen,services
WFM,Eemsmond,services
WT,Weert,services
WP,Weesp,services
WL,Montferland,services
WTV,Westervoort,services
WZ,Hattem,services
WDN,Wierden,services
WC,Wijchen,services
WH,Olst-Wijhe,services
WS,Pekela,services
WSM,Winsum,services
WW,Winterswijk,services
WWW,Winterswijk,services
WD,Woerden,services
WF,Renkum,services
WV,Weststellingwerf,services
WK,Súdwest-Fryslân,services
WM,Zaanstad,services
ZD,Oostzaan,services
ZDK,Oostzaan,services
ZZS,Zaanstad,services
ZBM,Zaltbommel,services
ZVT,Zandvoort,services
ZA,Overbetuwe,services
ZV,Zevenaar,services
ZVB,Moerdijk,services
ZTM,Zoetermeer,services
ZTMO,Zoetermeer,services
ZB,Veendam,services
ZH,Zuidhorn,services
ZP,Zutphen,services
ZWD,Zwijndrecht,services
ZL,Zwolle,services
ZLSH,Zwolle,services
