municipality,province,population,latitude,longitude
Winsum,Groningen,13843.0,53.33081,6.522254
Winterswijk,Gelderland,28873.0,51.971314,6.720509
Woensdrecht,Noord-Brabant,21654.0,51.429248,4.304708
Woerden,Utrecht,50607.0,52.079829,4.862724
Wormerland,Noord-Holland,15751.0,52.507275,4.8528
Woudenberg,Utrecht,12386.0,52.082175,5.426595
Woudrichem,Noord-Brabant,14407.0,51.817007,5.003751
Zaanstad,Noord-Holland,150911.0,52.457966,4.751043
Zaltbommel,Gelderland,27207.0,51.813554,5.250773
Zandvoort,Noord-Holland,16588.0,52.371149,4.533355
Zederik,Zuid-Holland,13661.0,51.925558,5.013633
Zeewolde,Flevoland,21543.0,52.331128,5.540495
Zeist,Utrecht,61337.0,52.090601,5.233253
Zevenaar,Gelderland,32254.0,51.929445,6.076959
Zoetermeer,Zuid-Holland,123614.0,52.060669,4.494025
Zoeterwoude,Zuid-Holland,8089.0,52.12083,4.51657
Zuidhorn,Groningen,18767.0,53.243148,6.408104
Zuidplas,Zuid-Holland,40878.0,52.006758,4.582785
Zundert,Noord-Brabant,21374.0,51.470701,4.662356
Zutphen,Gelderland,47154.0,52.142736,6.196058
Zwartewaterland,Overijssel,22148.0,52.601512,6.059625
Zwijndrecht,Zuid-Holland,44546.0,51.810598,4.627272
Zwolle,Overijssel,123211.0,52.516775,6.083022
