,code,name,country,daily_capacity,geo_lat,geo_lng
72,KMA,Krommenie-Assendelft,NL,23571.25,52.49511,4.75417
73,WM,Wormerveer,NL,23571.25,52.489166259766,4.7922220230103
74,ZZS,Zaandijk Zaanse Schans,NL,23571.25,52.469165802002,4.8049998283386
75,KZ,Koog aan de Zaan,NL,23571.25,52.458610534668,4.8055553436279
76,ASA,Amsterdam Amstel,NL,112544.875,52.346668243408,4.9177780151367
77,ASB,Amsterdam Bijlmer ArenA,NL,89649.375,52.3122215271,4.9469442367554
78,ASHD,Amsterdam Holendrecht,NL,23094.375,52.29844,4.95972
79,AC,Abcoude,NL,23094.375,52.2785,4.977
80,BKL,Breukelen,NL,36297.0,52.17149,4.9906
81,WD,Woerden,NL,76725.875,52.084999084473,4.8936109542847
82,GDG,Gouda Goverwelle,NL,43388.8125,52.014999389648,4.7408332824707
83,NWK,Nieuwerkerk a/d IJssel,NL,20076.4375,51.965278625488,4.6169443130493
84,CPS,Capelle Schollevaar,NL,20076.4375,51.954166412354,4.5841665267944
85,RTA,Rotterdam Alexander,NL,74016.4375,51.951946258545,4.5536112785339
86,RTN,Rotterdam Noord,NL,20076.4375,51.942222595215,4.4816665649414
87,HDR,Den Helder,NL,40656.75,52.955276489258,4.7611112594605
88,HDRZ,Den Helder Zuid,NL,40656.75,52.932498931885,4.7641668319702
89,ANA,Anna Paulowna,NL,40656.75,52.867221832275,4.8111109733581
90,SGN,Schagen,NL,45369.25,52.784442901611,4.8052778244019
91,HWD,Heerhugowaard,NL,59457.5,52.669723510742,4.8227777481079
92,AMRN,Alkmaar Noord,NL,59457.5,52.643890380859,4.7641668319702
93,DB,Driebergen-Zeist,NL,55748.625,52.065277099609,5.25861120224
94,KLP,Veenendaal-De Klomp,NL,38628.0,52.045833587646,5.5738887786865
95,ED,Ede-Wageningen,NL,80491.5625,52.027778625488,5.6730556488037
96,AH,Arnhem Centraal,NL,143686.3125,51.985000610352,5.8991665840149
97,NM,Nijmegen,NL,131826.875,51.843612670898,5.8522224426269
98,GN,Groningen,NL,52905.375,53.210556030273,6.5647220611572
99,GERP,Groningen Europapark,NL,21164.875,53.20480027,6.5854178
100,HRN,Haren,NL,21164.875,53.176109313965,6.6172223091125
